name,address,services,status
"Legal Name: BHARTI CURRENCY EXCHANGE LTD.,  Operating Name: BHARTI CURRENCY EXCHANGE LTD.","129 PRINCETON TERRACE,LONDON,ONTARIO,CANADA,N6K 0L5","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, PSP, Cheque Cashing",Registered
"Legal Name: NEMOPAY GLOBAL CORP.,  Operating Name: NEMOPAY GLOBAL CORP.","203 - 94 LAKESHORE ROAD EAST,MISSISSAUGA,ONTARIO,CANADA,L5G 1E3","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: CELENTIX LTD.,  Operating Name: CELENTIX","130 SPADINA AVE UNIT 807,TORONTO,ONTARIO,CANADA,M8V3W6","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: 17386788 CANADA LIMITED.  ,  Operating Name: PRIMO EXCHANGE","120 SKYWAY AVENUE,ETONICOKE,ONTARIO,CANADA,M9W 4Y9",Foreign Exchange,Registered
"Legal Name: 17263520 CANADA INC.,  Operating Name: AREGHE PAYMENT NETWORK","263 DYMOTT AVE,MILTON,ONTARIO,CANADA,L9T 0Z7","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: 1001393810 ONTARIO INC.,  Operating Name: TORONTO CURRENCY EXCHANGE","6091 YONGE STREET,NORTH YORK,ONTARIO,CANADA,M2M 3W2","Foreign Exchange, Money Transferring",Registered
"Legal Name: NGUYEN, TUYET MINH,  Operating Name: CANADIAN BUSINESS IMMIGRATION SERVICES","4212 - 1928 LAKESHORE BOULEVARD W,TORONTO,ONTARIO,CANADA,M6S 0B1","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: COINCHANGE FINANCIALS INC.,  Operating Name: COINCHANGE FINANCIALS INC.","261-250 UNIVERSITY AVE,TORONTO,ONTARIO,CANADA,M5H 3E5","Foreign Exchange, Money Transferring, Virtual Currency",Registered
"Legal Name: ASPIRATIONS TECHNOLOGIES INC.,  Operating Name: ASPIRATIONS TECHNOLOGIES INC.","18 EAGLEFIELD GATE,BRAMPTON,ONTARIO,CANADA,L7A 3S2","Foreign Exchange, Money Transferring, Issuing and Redeeming Money Orders, Virtual Currency, PSP",Registered
"Legal Name: IFEMMADON FINANCIAL INC.,  Operating Name: SURPLUS FX EXCHANGE","2 CROSSINGS WAY,HANNON,ONTARIO,CANADA,L0R 1P0","Foreign Exchange, Money Transferring, Crowdfunding",Registered
"Legal Name: INFINIFX NETWORK INC.,  Operating Name: INFINIFX NETWORK INC.","203 - 94 LAKESHORE ROAD EAST,MISSISSAUGA,ONTARIO,CANADA,L5G 1E3","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: GKPAYMENT SOLUTION INC,  Operating Name: KAMORDEEN GANIU","24 BURKWOOD CRESCENT,SCARBOROUGH,ONTARIO,CANADA,M1B 1P1","Foreign Exchange, Money Transferring, PSP",Registered
"Legal Name: TANDIZA AFRICONNECT CORP,  Operating Name: TANDIZA MSB","702 WELCOME COURT,MISSISSAUGA,ONTARIO,CANADA,L5B 3P8","Foreign Exchange, Money Transferring, PSP",Registered
"Legal Name: MINASPAY LIMITED,  Operating Name: MINASPAY LIMITED","2967 DUNDAS STREET WEST,TORONTO,ONTARIO,CANADA,M6P 1Z2","Foreign Exchange, Money Transferring, Virtual Currency, PSP",Registered
"Legal Name: 2728819 ONTARIO INCORPORATED,  Operating Name: 2728819 ONTARIO INCORPORATED","55 WILLOBANK AVENUE,RICHMONDHILL,ONTARIO,CANADA,L4E 3B4","Foreign Exchange, Money Transferring",Registered
"Legal Name: ALTAIF INC,  Operating Name: ALTAIF MONEY EXCHANGE","1729 -109 BANK ST,OTTAWA,ONTARIO,CANADA,K1V7Z5","Foreign Exchange, Money Transferring",Registered
"Legal Name: ENVOY INTERNATIONAL MANAGEMENT LTD.,  Operating Name: ENVOY INTERNATIONAL MANAGEMENT LTD.","427 GARRISON ROAD, UNIT 7,FORT ERIE,ONTARIO,CANADA,L2A 6E6","Foreign Exchange, Money Transferring",Registered
"Legal Name: 1521827 ONTARIO INC.,  Operating Name: CASH-A-CHEQUE","830 BROWNS LINE,ETOBICOKE,ONTARIO,CANADA,M8W3W2","Foreign Exchange, Cheque Cashing",Registered
"Legal Name: ALORIS MERCANTILE CORPORATION,  Operating Name: ALORIS MERCANTILE CORPORATION","292 SHEPPARD AVE W,TORONTO,ONTARIO,CANADA,M2N1N5","Foreign Exchange, Money Transferring",Registered
"Legal Name: MEEST CORPORATION INC.,  Operating Name: MEEST CORPORATION INC.","97 SIX POINT ROAD,TORONTO,ONTARIO,CANADA,M8Z 2X3",Foreign Exchange,Registered
"Legal Name: AMBASSADOR DUTY FREE MANAGEMENT SERVICES LIMITED ,  Operating Name: AMBASSADOR DUTY FREE STORE","707 PATRICIA ST,WINDSOR,ONTARIO,CANADA,N9B 0B5",Foreign Exchange,Registered
"Legal Name: 6519407 CANADA INC.,  Operating Name: EXPRESS CURRENCY EXCHANGE","UNIT 20, 4400 SHEPPARD AVE EAST,SCARBOROUGH,ONTARIO,CANADA,M1S 1T8","Foreign Exchange, Money Transferring",Registered
"Legal Name: GLASSTECH MEDIA INC.,  Operating Name: GLASSTECH MEDIA INC.","4931 BATHURST STREET,TORONTO,ONTARIO,CANADA,M2R1X8",Foreign Exchange,Registered
"Legal Name: EXPRESS CASH 2000 INC.,  Operating Name: EXPRESS CASH 2000 INC.","1062 BARTON STREET EAST,HAMILTON,ONTARIO,CANADA,L8L 3E5",Foreign Exchange,Registered
"Legal Name: MOR TRUST FINANCIAL SERVICES CORP.,  Operating Name: M.T.F.S.","209-398 STEELS AVE WEST,THORNHILL,ONTARIO,CANADA,L4J6X3","Foreign Exchange, Money Transferring",Registered
"Legal Name: YORK FOREIGN EXCHANGE INC,  Operating Name: YORK FX","69 YORKVILLE AVENUE, UNIT 102,TORONTO,ONTARIO,CANADA,M5R 1B8","Foreign Exchange, Money Transferring",Registered
"Legal Name: MOON FINANCIAL INC,  Operating Name: IFTIN EXPRESS","1987 KIPLING AVENUE UNIT 3,TORONTO,ONTARIO,CANADA,M9W 4J4","Foreign Exchange, Money Transferring",Registered
"Legal Name: KNIGHTSBRIDGE FOREIGN EXCHANGE INC,  Operating Name: KNIGHTSBRIDGEFX","18 WYNFORD DR. 601,TORONTO,ONTARIO,CANADA,M3C3S2","Foreign Exchange, Money Transferring",Registered
"Legal Name: CURRENCY CONVERTERS INCORPORATED,  Operating Name: CURRENCY CONVERTERS INCORPORATED","1027 GORDON STREET UNIT 8,GUELPH,ONTARIO,CANADA,N1G4X1","Foreign Exchange, Money Transferring",Registered
"Legal Name: MONEY GRAND INC.,  Operating Name: MONEY GRAND INC.","6066 YONGE ST,TORONTO,ONTARIO,CANADA,M2M3W6",Foreign Exchange,Registered
"Legal Name: 1825688 ONTARIO INC.,  Operating Name: BEST TRUST CANADA CORPORATION","7050 WOODBINE AVENUE SUITE 206,MARKHAM,ONTARIO,CANADA,L3R 4G8","Foreign Exchange, Money Transferring",Registered
"Legal Name: 1969459 ONTARIO INC.,  Operating Name: YOUNG EXCHANGE","13071 YONGE STREET, UNIT #25,RICHMOND HILL,ONTARIO,CANADA,L4E0K2","Foreign Exchange, Money Transferring",Registered
"Legal Name: NORTHSTAR CURRENCY LIMITED,  Operating Name: NORTHSTAR CURRENCY LIMITED","51 WOLSELEY STREET,TORONTO,ONTARIO,CANADA,M5T 1A4","Foreign Exchange, PSP",Registered
"Legal Name: PLATINUM EXCHANGE INC.,  Operating Name: PLATINUM EXCHANGE INC.","2500-120 ADELAIDE STREET WEST,TORONTO,ONTARIO,CANADA,M5H 1T1","Foreign Exchange, Money Transferring",Registered
"Legal Name: CURRENCY MART INC.,  Operating Name: CURRENCY MART INC.","237D-4841 YONGE STREET,TORONTO,ONTARIO,CANADA,M2N5X2","Foreign Exchange, Money Transferring",Registered
